source,target,source_type,target_type,edge_type,regulatory_type,weight,mi_value,mi,pearson_r,pearson_p,pearson_p_fdr,miRDB_score,comparison
hsa-let-7g,hsa-miR-1979,miRNA,miRNA,miRNA-miRNA,,0.8496504982614523,,,0.8496504982614523,7.732263964914384e-10,6.560957029551294e-09,,
hsa-let-7g,hsa-miR-106b,miRNA,miRNA,miRNA-miRNA,,0.8495418553563742,,,0.8495418553563742,7.810532312688839e-10,6.613357698164652e-09,,
hsa-let-7g,hsa-miR-146a,miRNA,miRNA,miRNA-miRNA,,0.8415517561136884,,,0.8415517561136884,1.6044177289914809e-09,1.2033132967436107e-08,,
hsa-let-7g,hsa-miR-490-3p,miRNA,miRNA,miRNA-miRNA,,0.8410821146650685,,,0.8410821146650685,1.671699922247638e-09,1.246770612402568e-08,,
hsa-let-7g,hsa-miR-660,miRNA,miRNA,miRNA-miRNA,,0.8316309074617273,,,0.8316309074617273,3.719364500197709e-09,2.4459860136768187e-08,,
hsa-let-7g,hsa-miR-1308,miRNA,miRNA,miRNA-miRNA,,0.8271719016921685,,,0.8271719016921685,5.333418272741603e-09,3.3116806484232744e-08,,
hsa-let-7g,hsa-miR-455-5p,miRNA,miRNA,miRNA-miRNA,,0.8260750329624547,,,0.8260750329624547,5.818811585840675e-09,3.563354801420781e-08,,
hsa-let-7g,hsa-miR-96,miRNA,miRNA,miRNA-miRNA,,0.8252043157316125,,,0.8252043157316125,6.232719443327776e-09,3.770701113372771e-08,,
hsa-let-7g,hsa-miR-154,miRNA,miRNA,miRNA-miRNA,,0.8112483317527485,,,0.8112483317527485,1.7858207919325105e-08,9.260956988748101e-08,,
hsa-let-7g,hsa-miR-130b,miRNA,miRNA,miRNA-miRNA,,0.7958087292987939,,,0.7958087292987939,5.198283412990318e-08,2.2703516978218347e-07,,
hsa-let-7g,hsa-miR-425,miRNA,miRNA,miRNA-miRNA,,0.7932996147676955,,,0.7932996147676955,6.131395378430186e-08,2.5903205158874363e-07,,
hsa-let-7g,hsa-miR-509-3p,miRNA,miRNA,miRNA-miRNA,,0.7802993885187975,,,0.7802993885187975,1.3932240928988825e-07,5.234392581669817e-07,,
hsa-let-7g,hsa-miR-107,miRNA,miRNA,miRNA-miRNA,,0.7718525366532059,,,0.7718525366532059,2.3071862029237099e-07,8.007175686923274e-07,,
hsa-let-7g,hsa-miR-106a+hsa-miR-17,miRNA,miRNA,miRNA-miRNA,,0.7715568902059199,,,0.7715568902059199,2.347374072372688e-07,8.097530714774e-07,,
hsa-let-7g,hsa-miR-429,miRNA,miRNA,miRNA-miRNA,,0.7623518773228609,,,0.7623518773228609,3.969155242605618e-07,1.2768246382839759e-06,,
hsa-let-7g,hsa-miR-200b,miRNA,miRNA,miRNA-miRNA,,0.7622575725806305,,,0.7622575725806305,3.990088552816109e-07,1.282528463405178e-06,,
hsa-let-7g,hsa-miR-135b,miRNA,miRNA,miRNA-miRNA,,0.747988949058528,,,0.747988949058528,8.612080634482759e-07,2.5249914305346595e-06,,
